keyword,source_seed_group,avg_monthly_searches,competition,top_of_page_bid_low,top_of_page_bid_high,notes
mobiliario de oficina,office,5000,高,15.52,375.03,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
muebles para oficina,office,5000,高,12.24,413.27,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
catálogo de muebles de oficina,office,500,高,8.77,58.14,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
proveedor de muebles de oficina,office,50,高,30.64,204.51,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
fabricante de muebles de oficina,office,50,高,30.57,181.86,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
puestos de trabajo para oficina,office,500,低,4.09,18.70,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
estaciones de trabajo para oficina,office,500,高,16.14,91.65,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
muebles para salas de juntas,office,50,高,14.70,75.69,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
mobiliario colaborativo,office,50,中,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
muebles para espacios colaborativos,office,50,未知,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
escritorio,office,500000,高,0.90,13.71,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas de oficina,office,50000,高,5.53,76.68,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla escritorio,office,50000,高,1.38,13.99,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas de escritorio,office,500000,高,1.28,17.26,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
muebles de oficina,office,50000,高,12.01,288.17,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
sillas oficina,office,50000,高,3.59,51.59,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla ergonomica,office,50000,高,2.75,27.73,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas para oficina,office,5000,高,5.61,48.45,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas ergonomicas,office,50000,高,2.75,27.73,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorios para oficina,office,50000,高,7.80,119.74,review: requires page-role and SERP-intent filtering before use
muebles oficina,office,5000,高,6.76,95.33,review: requires page-role and SERP-intent filtering before use
silla ergonomica oficina,office,50000,高,3.46,34.07,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla ejecutiva,office,5000,高,4.15,36.77,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio para computadora,office,50000,高,1.37,11.49,review: requires page-role and SERP-intent filtering before use
escritorios modernos,office,5000,高,1.38,17.15,review: requires page-role and SERP-intent filtering before use
sillas para escritorio,office,50000,高,1.60,30.47,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorios de oficina,office,50000,高,3.00,45.10,review: requires page-role and SERP-intent filtering before use
mobiliario oficina,office,500,高,15.72,106.58,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
escritorio esquinero,office,5000,高,1.60,12.99,review: requires page-role and SERP-intent filtering before use
mesas de oficina,office,500,高,9.59,121.33,review: requires page-role and SERP-intent filtering before use
mesas de escritorio,office,5000,高,0.97,16.37,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa oficina,office,500,高,7.52,105.31,review: requires page-role and SERP-intent filtering before use
mesas oficina,office,500,高,7.52,105.31,review: requires page-role and SERP-intent filtering before use
mesas escritorio,office,5000,高,1.24,17.54,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio oficina,office,5000,高,3.93,36.85,review: requires page-role and SERP-intent filtering before use
escritorio pequeño,office,50000,高,0.86,5.17,review: requires page-role and SERP-intent filtering before use
sillas de oficina ergonomicas,office,5000,高,5.26,49.01,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas ergonomicas para oficina,office,5000,高,4.68,36.44,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
